127.0.0.1 - - [07/Jul/2023:17:07:48 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:07:49 +0530] "GET /Login/index.html HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:07:55 +0530] "GET /Login/index.html HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:07:55 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:10:25 +0530] "GET /Login/index.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:10:51 +0530] "GET /Login/index.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:11:04 +0530] "GET /Login/index.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:11:04 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:11:41 +0530] "GET /Login/index.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:11:50 +0530] "GET /Login/index.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:11:59 +0530] "GET /Login/index.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:13:36 +0530] "GET /Login/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:14:31 +0530] "GET /Login/login.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:15:14 +0530] "GET /Login/index.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:15:15 +0530] "GET /Login/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:15:25 +0530] "GET /Login/index.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [07/Jul/2023:17:15:35 +0530] "GET /Login/login.jsp HTTP/1.1" 200 556
